שם השכונה,מספר מקלט,כתובת,שטח,סוג,מס' נפשות,שייכות,שכונה,מנהל
עיר גנים,מקלט ציבורי מס' - 902,הנורית 29,250,מקלט,200,"עיריית ירושלים, אגף חירום וביטחון",,
עיר גנים,מקלט ציבורי מס' - 905,הנרד 1,138,מקלט,110,"תנועת הנוער ""עזרא""",,
עיר גנים,מקלט ציבורי מס' - 726א',הנורית 124,120,מקלט,80,"עיריית ירושלים, אגף חירום וביטחון",,
עמק רפאים,מקלט ציבורי מס' - 670,בוסתנאי 9,140,מקלט,112,"עיריית ירושלים, אגף חירום וביטחון",,
עמק רפאים,מקלט ציבורי מס' - 672,רות 10,150,מקלט,120,"עיריית ירושלים, אגף חירום וביטחון",,
עמק רפאים,מקלט ציבורי מס' - 673,מלל 3,114,מקלט,91,"עיריית ירושלים, אגף חירום וביטחון",,
עמק רפאים,מקלט ציבורי מס' - 674,באכר 7,150,מקלט,120,"עיריית ירושלים, אגף חירום וביטחון",,
עמק רפאים,מקלט ציבורי מס' - 676,אמיל זולא 6,100,מקלט,80,"עיריית ירושלים, אגף חירום וביטחון",,
עמק רפאים,מקלט ציבורי מס' - 677,וינדהם דידס 6,290,מקלט,232,"עיריית ירושלים, אגף חירום וביטחון",,
עמק רפאים,מקלט ציבורי מס' - 692,עמק רפאים 60,250,מחסה - הכי מוגן שיש,200,"עיריית ירושלים, אגף חירום וביטחון",,
עמק רפאים,מקלט ציבורי מס' - 693,יותם 9,170,מקלט,136,"עיריית ירושלים, אגף חירום וביטחון",,
עמק רפאים,מקלט ציבורי מס' - 697,יהושע בן נון 27,160,מקלט,128,"עיריית ירושלים, אגף חירום וביטחון",,
עמק רפאים,מקלט ציבורי מס' - 804,המליץ 8,100,מקלט,80,"עיריית ירושלים, אגף חירום וביטחון",,
קטמון,מקלט ציבורי מס' - 663,האמוראים 6,60,מחסה - הכי מוגן שיש,48,"עיריית ירושלים, אגף חירום וביטחון",,
קטמון,מקלט ציבורי מס' - 702,חלפתא 12,380,מקלט,304,"עיריית ירושלים, אגף חירום וביטחון",,
קטמון,מקלט ציבורי מס' - 704,יוחנן בן זכאי 5,200,מחסה - הכי מוגן שיש,160,יורושחמט,,
קטמון,מקלט ציבורי מס - א704,יוחנן בן זכאי 5,200,מחסה - הכי מוגן שיש,160,"עיריית ירושלים, אגף חירום וביטחון",,
,,,,,,,,
,, ,,,,,,
קטמון,מקלט ציבורי מס' - 705,מעגלי יבנה 7,400,מחסה - הכי מוגן שיש,320,"עיריית ירושלים, אגף חירום וביטחון",,
קטמון,מקלט ציבורי מס' - 707,"רשב""ג 22",40,מחסה - הכי מוגן שיש,32,"עיריית ירושלים, אגף חירום וביטחון",,
קטמון,מקלט ציבורי מס' - 709,בן-טבאי 5,160,מחסה - הכי מוגן שיש,128,"עיריית ירושלים, אגף חירום וביטחון",,
קטמון,מקלט ציבורי מס' - 710 - לא פעיל זמנית,יוחנן בן זכאי 70,160,מחסה,128,"עיריית ירושלים, אגף חירום וביטחון",,
קטמון,מקלט ציבורי מס' - 714,קנאי הגליל 3,40,מחסה - הכי מוגן שיש,32,"עיריית ירושלים, אגף חירום וביטחון",,
קטמון,מקלט ציבורי מס' - 718,רבי צדוק 6,120,מקלט,96,מינהל קהילתי גוננים,,
קטמון,מקלט ציבורי מס' - 755,דב הוז 3,100,מקלט,80,"עיריית ירושלים, אגף תרבות-אומן ויקטור ראובינוב",,
קטמון,מקלט ציבורי מס' - 756,סן מרטין 1,100,מקלט,80,"תנועת נוער ""תורה בציון צדק""",,
קטמון,מקלט ציבורי מס' - 757,השומר 5,100,מקלט,80,"עיריית ירושלים, החט' לקידום נוער וצעירים (מועדון נוער)",,
קטמון,מקלט ציבורי מס' - 805,יורדי הסירה 21,370,מקלט,296,"עיריית ירושלים, אגף חירום וביטחון",,
קטמון,מקלט ציבורי מס' - 817,בן גמלא יהושע 7,120,מקלט,96,"מינהל קהילתי, גינות העיר",,
קטמון,מקלט ציבורי מס' - 824,"רשב""ג 31",150,מקלט,120,"עיריית ירושלים, אגף תרבות, תיאטרון מיקרו",,
קטמון,מקלט ציבורי מס' - 825,אלעזר בן יאיר 24,150,מקלט,120,"תנועת הנוער ""אריאל""",,
קטמון,מקלט ציבורי מס' - 828,הרב חסדא 10,100,מקלט,80,מועדון איגרוף,,
קטמון,מקלט ציבורי מס' - 831,דב הוז 7,150,מקלט,120,"עיריית ירושלים, אגף תרבות, קשת אומנויות",,
קטמון,מקלט ציבורי מס' - 842,בר יוחאי 8,174,מקלט,139,בית כנסת לעולי העדה האתיופית,,
קטמון,מקלט ציבורי מס' - 906,בר יוחאי 2,100,מקלט,80,"בית כנסת ""גל אברהם""",,
קטמון,מקלט ציבורי מס' - 923 - לא פעיל זמנית,אלעזר המודעי 15,100,מקלט,80,"עיריית ירושלים, החט' לקידום נוער וצעירים/בית יהודית, אגף חברה",,
קטמון,מקלט ציבורי מס' - 937,חזקיהו המלך 38,100,מקלט,80,"עיריית ירושלים, מנח""י, חט' לקידום נוער",,
קטמון,מקלט ציבורי מס' - 965,יצחק שדה 7,100,מקלט,80,"בית כנסת ""חבצלת השרון""",,
קטמון,מקלט ציבורי מס' - 967,אנטיגונוס 7,100,מקלט,80,תנועת אריאל,,
קטמון,מקלט ציבורי מס' - 969,יוסי בן יועזר 16,100,מקלט,80,"עיריית ירושלים, אגף חברה",,
קטמון,מקלט ציבורי מס' - 976,אלמליח אברהם 41,50,מקלט,40,עמותת יוצאי כורדיסטאן,,
קטמון,מקלט ציבורי מס' - 981,אלמליח אברהם 27,50,מקלט,40,"עיריית ירושלים, אגף חברה - צופים",,
קטמון,מקלט ציבורי מס' - 987,יוחנן בו זכאי 38,100,מקלט,80,"בית כנסת ""אוהל משה""",,
קטמון הישנה,מקלט ציבורי מס' - 669,"הפלמ""ח 42",130,מחסה - הכי מוגן שיש,104,הגיל השלישי,,
קטמון הישנה,מקלט ציבורי מס' - 671,"כ""ט בנובמבר 22",160,מקלט,128,"עיריית ירושלים, אגף חירום וביטחון",,
קטמון הישנה,מקלט ציבורי מס' - 696,ריש לקיש 3,164,מקלט,131,"עיריית ירושלים, אגף חירום וביטחון",,
קטמון הישנה,מקלט ציבורי מס' - 703,יוחנן בן זכאי 53,170,מקלט,136,"בית כנסת ""זכות אבות""",,
קריית היובל,מקלט ציבורי מס' - 721,אורוגוואי 29,130,מקלט,104,"עיריית ירושלים, אגף בריאות הציבור, מינהל קהילה",,
קריית היובל,מקלט ציבורי מס' - 722 - לא פעיל זמנית,שטרן אברהם 67,130,מקלט,104,"עיריית ירושלים, אגף חירום וביטחון",,
קריית היובל,מקלט ציבורי מס' - 723 - לא פעיל זמנית,שטרן אברהם 51,130,מקלט,104,"עיריית ירושלים, אגף חירום וביטחון",,
קריית היובל,מקלט ציבורי מס' - 724,וולטה העלית 9,90,מקלט,72,"עיריית ירושלים, אגף חירום וביטחון",,
קריית היובל,מקלט ציבורי מס' - 736,צ'ילה 8,200,מקלט,160,מינהל קהילתי יובלים,,
קריית היובל,מקלט ציבורי מס' - 737,קורצאק יאנוש 32,150,מקלט,120,"בית כנסת ""משכן מרדכי""",,
קריית היובל,מקלט ציבורי מס' - 738,אנילביץ 78,90,מקלט,72,"תנועת הנוער ""בני עקיבא""",,
קריית היובל,מקלט ציבורי מס' - 739,שמורק 3,90,מקלט,72,"עיריית ירושלים, אגף חירום וביטחון",,
קריית היובל,מקלט ציבורי מס' - 740,ישראל זנגוויל 7,90,מחסה - הכי מוגן שיש,72,"עיריית ירושלים, אגף חירום וביטחון",,
קריית היובל,מקלט ציבורי מס' - 741,זנגויל ישראל 5,90,מחסה - הכי מוגן שיש,72,"עיריית ירושלים, אגף חירום וביטחון",,
קריית היובל,מקלט ציבורי מס' - 814,וולטה עלית 3,130,מקלט,104,מינהל קהילתי יובלים,,
קריית היובל,מקלט ציבורי מס' - 814א,וולטה העלית 3,130,מקלט,104,מינהל קהילתי יובלים- בית הקהילות,,
קריית היובל,מקלט ציבורי מס' -815,רבינוביץ אהרון 2,168,מקלט,134,מכון למוסיקה,,
קריית היובל,מקלט ציבורי מס' - 815א,רבינוביץ אהרון 2,170,מקלט,136,"בית הכנסת ""יד אבי""",,
קריית היובל,מקלט ציבורי מס' - 947,סירני 17,100,מחסה,80,עיריית ירושלים- אגף תרבות,,
קריית היובל,מקלט ציבורי מס' - 963,זנגויל ישראל 11,100,מקלט,80,"בית הכנסת ""שיח ישראל""",,
קריית היובל,מקלט ציבורי מס' - 964,מאיר גרונולד 8,180,מקלט,144,"עיריית ירושלים, אגף חירום וביטחון",,
קריית היובל,מקלט ציבורי מס' - 983,גורדון 10,100,מקלט,80,"תנועת הנוער ""עזרא""",,
קריית היובל,מקלט ציבורי מס' - 991,שרון אברהם 2,100,מקלט,80,"עמותה ""מתחזקים לבורא עולם""",,
קריית היובל,מקלט ציבורי מס' - 992,אטינגר 19,100,מקלט,80,"עיריית ירושלים, אגף חירום וביטחון",,
קריית היובל,מקלט ציבורי מס' - 993,קליינמן 3,100,מקלט,80,"עיריית ירושלים, אגף תרבות, תיאטרון משומשו",,
קריית מנחם,מקלט ציבורי מס' - 729,דהומיי 7,250,מקלט,200,מינהל קהילתי גנים,,
קריית מנחם ,מקלט ציבורי מס' - 731,קולומביה 16,200,מחסה - הכי מוגן שיש,160,"עיריית ירושלים, אגף חירום וביטחון",,
קריית מנחם,מקלט ציבורי מס' - 732,קולומביה 7,160,מחסה - הכי מוגן שיש,128,"עיריית ירושלים, אגף חירום וביטחון",,
קריית מנחם,מקלט ציבורי מס' - 734,איסלנד 17,130,מקלט,104,"עיריית ירושלים, אגף חירום וביטחון",,
קריית מנחם,מקלט ציבורי מס' - 734א,איסלנד 17,170,מקלט,136,"עיריית ירושלים, אגף חירום וביטחון",,
קריית מנחם,מקלט ציבורי מס' - 803,הנריטה סולד 17,113,מקלט,90,"ישיבת ""דרכי חיים"" (חדר אוכל)",,
קריית מנחם,מקלט ציבורי מס' - 827,מקסיקו 4,100,מקלט,80,"תנועת הנוער ""אריאל""",,
קריית משה,מקלט ציבורי מס' - 748,העילוי 2,134,מקלט,107,"עיריית ירושלים, אגף חירום וביטחון",,
קריית משה,מקלט ציבורי מס' - 978,הרב צבי יהודה 13,100,מקלט,80,מינהל קהילתי מיתרים,,
קריית שמואל,מקלט ציבורי מס' - 667,"הפלמ""ח 22",180,מקלט,144,"עיריית ירושלים, אגף חירום וביטחון",,
קריית שמואל,מקלט ציבורי מס' - 668,הרב ברודי 15,170,מחסה - הכי מוגן שיש,136,"עיריית ירושלים, אגף חירום וביטחון",,
קריית שמואל,מקלט ציבורי מס' - 971,"הפלמ""ח 16",100,,80,מינהל קהילתי גינות העיר,,
קרית משה,מקלט ציבורי מס' - 977,גת 23,100​,מקלט,80,מינהל קהילתי מיתרים,,
רוממה,מקלט ציבורי מס' - 606,פנינה 1,80,מקלט,64,"עיריית ירושלים, אגף חירום וביטחון",,
רוממה,מקלט ציבורי מס' -750,זכרון יעקב 5,130,מקלט,104,מינהל קהילתי רוממה,,
רוממה,מקלט ציבורי מס' - 933,"המ""ג 38",100,מקלט,80,"עמותת ""לב מלכה""",,
רוממה,מקלט ציבורי מס' - 975א,זיכרון יעקב 15,50,מקלט,40,"עיריית ירושלים, אגף חירום וביטחון",,
רוממה,מקלט ציבורי מס' - 975ב,זיכרון יעקב 17,50,מקלט,40,"עמותת ""דרכי מרים""",,
רוממה,מקלט ציבורי מס' - 975ג,זכרון יעקב 19,50,מקלט,40,"עמותת ""לב מלכה""",,
רוממה,מקלט ציבורי מס' - 975ד,זכרון יעקב 21,50,מקלט,40,"עיריית ירושלים, אגף חירום וביטחון",,
רוממה,מקלט ציבורי מס' - 979,זכרון יעקב 10,100,מקלט,80,"בית כנסת ""חניכי הישיבות רוממה""",,
רחביה,מקלט ציבורי מס' - 658,אבן עזרא 13,80,מקלט,64,"עיריית ירושלים, אגף חירום וביטחון",,
רחביה,מקלט ציבורי מס' - 659,אבן גבירול 15,160,מקלט,128,"עיריית ירושלים, אגף חירום וביטחון",,
רחביה,מקלט ציבורי מס' - 809,"רשב""א 9",90,מקלט,72,"עיריית ירושלים, אגף חירום וביטחון",,
רחביה,מקלט ציבורי מס' - 810,עובדיה מברטנורה 9,150,מקלט,120,"עיריית ירושלים, אגף חירום וביטחון",,
רחביה,מקלט ציבורי מס' - 816,עזה 50,120,מקלט,96,העמותה לניצולי שואה ירושלים,,
רחביה ,מקלט ציבורי מס' - 835,ארלוזורוב 18,190,מקלט,152,"עיריית ירושלים, אגף חירום וביטחון",,
רחביה,מקלט ציבורי מס' - 972,אלחריזי 26,100,מקלט,80,"עיריית ירושלים, אגף תרבות, בית יעל",,
שועפת,מקלט ציבורי מס' - 997 - לא פעיל זמנית,שיכוני נוסייבה,100,מקלט,80,"עיריית ירושלים, אגף חירום וביטחון",,
שמואל הנביא,מקלט ציבורי מס' - 604,חכם שמעון 8,100,מקלט,80,"עיריית ירושלים, אגף חירום וביטחון",,
שמואל הנביא,מקלט ציבורי מס' - 605,בר אילן 2,500,מחסה - הכי מוגן שיש,400,"עיריית ירושלים, אגף חירום וביטחון",,
שמואל הנביא,מקלט ציבורי מס' - 616,שמואל הנביא 61,,מחסה - הכי מוגן שיש,80,"עיריית ירושלים, אגף חירום וביטחון",,
שמואל הנביא,מקלט ציבורי מס' - 617,גמול 3,40,מחסה - הכי מוגן שיש,32,"עמותת ""עיון וברכה""",,
שמואל הנביא,מקלט ציבורי מס' - 618,שמואל הנביא 66,110,מקלט,137,"בית הכנסת ""אוהלי יעקב""",,
שמואל הנביא,מקלט ציבורי מס' - 957,אבינדב 19,450,מקלט,360,"בית כנסת ""אגודת אור הצפון""",,
תלפיות,מקלט ציבורי מס' - 679,דרך חברון 59,200,מקלט,160,"עיריית ירושלים, אגף חירום וביטחון",,
תלפיות,מקלט ציבורי מס' - 688,אפרתה 18,200,מקלט,160,"עיריית ירושלים, אגף חירום וביטחון",,
תלפיות,מקלט ציבורי מס' - 689,בן גבריאל 10,90,מקלט,72,"עיריית ירושלים, אגף חירום וביטחון",,
תלפיות,מקלט ציבורי מס' - 690 - לא פעיל זמנית,לייב יפה 1,240,מקלט,192,"עיריית ירושלים, אגף חירום וביטחון",,
תלפיות,מקלט ציבורי מס' - 691,דרך בית לחם 93,440,מקלט,352,"עיריית ירושלים, אגף חירום וביטחון",,
תלפיות,מקלט ציבורי מס' - 940,שלום יהודה 17,100,מקלט,80,"תנועת נוער ""עזרא""",,
